brand,style,menWomen,price,maxHeightFront,minHeightFront,rivetHeightFront,maxWidthFront,minWidthFront,maxHeightBack,minHeightBack,maxWidthBack,minWidthBack
Arizona,straight,women,42,14.5,14,6.5,16,12.5,15.5,12.2,13,11.2
Ralph Lauren,straight,women,89.5,13,13.5,6.5,14.5,12,14.5,13,13,12.2
Uniqlo,straight,women,39.9,15.5,12,6.5,16.5,12.5,14.5,12.5,12.5,11.5
Calvin Klein,straight,women,69.5,14,11.2,6.5,15.5,12,15,12,14,12.5
Lucky,straight,women,79.5,15,16.5,5.5,15.5,12.2,14.5,12.7,13,11
Levi's,straight,women,54.5,12.2,14.5,7,17,12.7,15.5,12.5,12.5,11.5
Lee,straight,women,19.94,13.5,13,6.2,17,14,15,12.5,14.5,12.5
7 for All Mankind,straight,women,159,14,13.5,7,15,11.5,15.5,14,12.5,12
True Religion,straight,women,249,14.5,11.7,5.7,14,11.7,14.7,12.5,13,9.5
Guess,straight,women,89,12.5,12,7.5,14,11.5,14.5,11.5,13.5,13
Tommy Hilfiger,straight,women,69.5,15,15.5,7.5,16.7,13,15.5,13,15,12.5
Express,straight,women,79.9,15.5,14.2,7,15.2,12.5,15.5,12.2,15,13
H&M,straight,women,49.99,14.5,13,6.5,14,12,16,13.5,13,12
Old Navy,boot-cut,women,29.99,12,12.5,5.5,14.5,11.5,15,12,13.5,11
J. Crew,straight,women,125,14,14.5,6,15.5,12.5,15,13,14.5,13
Gap,boot-cut,women,69.95,14,9.5,4.5,12,11,15,12,13.5,11
American Eagle,boot-cut,women,39.95,16,15,5.5,13.5,11,15,12.5,13,11
Abercrombie,straight,women,78,18,12,6,18.5,12.5,16,14,14,12
Wrangler,straight,women,99,15,12.5,7.5,15,11,16,13.5,13.2,12.5
Buckle Black,boot-cut,women,89.95,15,14,7,16,13.5,14.5,13,13.5,11
Arizona,boot-cut,men,50,24.5,21.5,8.75,18,13.5,16,13.5,15.2,13.5
Ralph Lauren,straight,men,89.5,24,24,8,17.5,14.5,17,15,15,12.5
Uniqlo,regular,men,49.9,21.5,21.5,7.5,16,13,15,12.5,14,11.5
Calvin Klein,straight,men,69.5,21.5,20.5,6,18,13.5,17,14.5,15.5,12.5
Lucky,straight,men,129,22.5,18,6.5,17,13.5,16.2,14.7,13,12
Levi's,straight,men,59.5,26,17.5,9,16.5,11.5,15,12.5,13.2,11.7
Lee,straight,men,48,24.5,15.5,7.5,16.2,13.5,17.5,14,15,14
7 for all Mankind,straight,men,179,21.5,23,7,16.5,12.5,16,13,14,12.5
True Religion,straight,men,179,21,14,7,16.5,13,16,13,13.5,11
Guess,straight,men,98,25.5,17,8.7,17.5,13,16,14.5,14,11.5
Tommy Hilfiger,boot-cut,men,59.5,22.5,22.5,6.7,18.2,14.5,17,14,13,13
Express,boot-cut,men,79.9,21.5,16,7.5,16,13,16.2,13.5,13.5,12.7
H&M,straight,men,49.99,21.5,17,7,16.5,14,16,14.5,14.5,13
Old Navy,boot-cut,men,39.99,24.5,21.5,6,17,14.5,14,12,12,11
J. Crew,straight,men,98,22.5,14,6,14.5,13,15.5,13,13.5,12
Gap,boot-cut,men,59.95,23,16.7,7.2,17.5,14,15.5,13.5,14,12.5
American Eagle,straight,men,49.95,22,18,6.5,16.5,12,17,14,13.5,12.5
Abercrombie,straight,men,78,22.5,15,5,16,12,16,14,13,11
Wrangler,boot-cut,men,48,28,15.5,9,13,12,16.7,13.5,14.5,14
Buckle Black,boot-cut,men,94.95,21,18.5,8.5,18.5,14.5,16,14,13,12.5
