Clade,GenusFinal,SpeciesFinal,Specimen,Scapula,Humerus,Radius,MC III L,Femur,Tibia,MT III L
Ornithopoda,Abrictosaurus,consors,NHM RU B.54,,,,,77,102,54
Ankylosauria,Aletopelta,coombsi,SDNHM 33909,,,,,600,375,
Hadrosauridae,Brachylophosaurus,canadensis,CMN 8893,857,593,659,,,,
Ornithopoda,Camptosaurus,dispar,USNM 4282,476,354,232,60,639,567,216
Ceratopsia,Centrosaurus,apertus,AMNH 5351,700,600,350,130,740,600,215
Ceratopsia,Cerasinops,hodgskissi,MOR 300,277,260,,,348,341,171
Ornithopoda,Changchunsaurus,parvus,JLUM L0403-j-Zn2,83,,,,,,67.25
Ceratopsia,Chasmosaurus,belli,ROM 839,694,577,338,,825,547,202
Stegosauria,Chialingosaurus,kuani ,IVPP V2300,357,424,250,,690,,120
Hadrosauridae,Claosaurus,agilis,YPM 1190,475,361,271,,678,589,216
Hadrosauridae,Corythosaurus,casuarius,AMNH 5338,840,546,577,242,1034,962,378
Ornithopoda,Dryosaurus,altus,YPM 1876,,190,146,,355,397,
Ornithopoda,Dryosaurus,lettowvorbecki,HMN dy I,,156,105,,268,,
Ankylosauria,Edmontonia,longiceps,CMN 8531,,495,298,,660,558,
Ankylosauria,Edmontonia,rugosidens,AMNH 5665,,582,355,130,,,
Hadrosauridae,Edmontosaurus,annectens,CMN 8399,927,587,610,272,1118,933,346.2
Hadrosauridae,Edmontosaurus ,regalis,CMN 2288,1015,587,610,272,1118,930,345
Ornithischia,Eocursor,parvus,SAM-PK-K8025,74,67,42,,109,137,75
Ceratopsia,Graciliceratops,mongoliensis,ZPAL MgD-I/156,90,85,60,,96,110,
Hadrosauridae,Gryposaurus,incurvimanus,ROM 764,784,616,556,227,1047,921,348
Hadrosauridae,Hadrosaurus,foulkii,ANSP 10005,,567,515,,1035,923,304
Ornithopoda,Haya,griva,IGM 100/2015,91,86,66,13,131,155,
Ornithischia,Heterodontosaurus,tucki,SAM-K1332,86,83,58,22,112,145,68
Ornithopoda,Hexinlusaurus,multidens,T6001,80,102,70,19,156,184,97.5
Iguanodontia,Hippodraco,scutodens,UMNH VP 20208,455,323,,,,,210
Stegosauria,Huayangosaurus,taibaii,CV00720,,501,290,,575,520,124
Ankylosauria,Hungarosaurus,tormai,MTM Gyn/404,320,,265,,470,,
Hadrosauridae,Hypacrosaurus,altispinus,CMN 8501,766,510,620,239,1074,981,379
Ornithopoda,Hypsilophodon,foxii,NHM R196,105,105,83,24,149,178,84
Ornithopoda,Iguanodon,atherfieldensis,IRSNB 1551,605,437,345,154,762,688,275
Ornithopoda,Iguanodon,bernissartensis,IRSNB 1534,956,818,516,193,1025,892,341
Iguanodontia,Jinzhousaurus,yangi,IVPP V12691,504,420,265,112,,,
Ceratopsia,Koreaceratops,hwaseongensis,KIGAM VP 200801,,,,,,,107.81
Hadrosauridae,Lambeosaurus,lambei,ROM 1218,914,533,610,254,1080,946,350
Hadrosauridae,Lambeosaurus,magnicristatus,TMP 66.4.1,780,505,675,276,1018,1008,371
Ceratopsia,Leptoceratops,gracilis,CMN 8888,226,255,137,45,265,280,125
Ornithischia,Lesothosaurus,diagnosticus,NHM RU B.17 (small),66,58,37,13,104,129,67
Hadrosauridae,Lophorhothon,atopus,FMNH P27383,,,,,626,577,239
Ornithopoda,Lurdusaurus,arenatus,MNHN GDF 1700,834,638,352,120,910,777,109
Ceratopsia,Montanoceratops,cerorhynchus,MOR 542,218,,,39,,258,118
Ornithopoda,Nanyangosaurus,zhugeii,IVPP V 11821,,265,230,,517,548,193
Ankylosauria,Niobrarasaurus,coleii,MU 650 VP,,377,270,,513,365,95
Stegosauria,Omosaurus,armatus,NHM 46013,,840,575,156.0,1232,,
