restaurant,city,violations
McDonalds,TALLAHASSEE,5
McDonalds,TARPON SPGS,8
McDonalds,SARASOTA,1
McDonalds,LUTZ,8
McDonalds,HAINES CITY,3
McDonalds,DEERFIELD BEACH,8
McDonalds,MIAMI,11
McDonalds,CAPE CANAVERAL,5
McDonalds,GAINESVILLE,8
McDonalds,MIRAMAR,2
McDonalds,MIAMI,9
McDonalds,TAMPA,17
McDonalds,OCALA,8
McDonalds,ELLENTON,7
McDonalds,TAMPA,16
McDonalds,OCALA,2
McDonalds,VERO BCH,3
McDonalds,TALLAHASSEE,10
McDonalds,PINELLAS PARK,4
McDonalds,HIALEAH,4
McDonalds,SARASOTA,2
McDonalds,SOUTHWEST RANCHES,7
McDonalds,PORT RICHEY,7
McDonalds,MIAMI,8
McDonalds,ORMOND BCH,2
McDonalds,PORT CHARLOTTE,9
McDonalds,TAMPA,15
McDonalds,ORLANDO,11
McDonalds,BRANFORD,10
McDonalds,CLEARWATER,13
Burger King,MEDLEY,1
Burger King,JACKSONVILLE,5
Burger King,BONIFAY,5
Burger King,NORTH PALM BEACH,2
Burger King,DELRAY BEACH,3
Burger King,MIAMI,6
Burger King,DAVIE,11
Burger King,HOLLYWOOD,8
Burger King,PERRINE,3
Burger King,MARATHON,11
Burger King,JACKSONVILLE,6
Burger King,JACKSONVILLE,4
Burger King,ST. PETERSBURG,7
Burger King,OCALA,8
Burger King,TAMPA,7
Burger King,KEY LARGO,4
Burger King,PEMBROKE PINES,1
Burger King,CORAL SPRINGS,3
Burger King,HALLANDALE BEACH,6
Burger King,PENSACOLA,2
Burger King,FORT LAUDERDALE,3
Burger King,HOLLYWOOD,8
Burger King,MIAMI,2
Burger King,BOYNTON BEACH,4
Burger King,DAVIE,5
Burger King,OCOEE,1
Burger King,PLANT CITY,1
Burger King,JACKSONVILLE,11
Burger King,NICEVILLE,7
Burger King,CLEARWATER,13
